Sembol,Tarih_5g,Fiyat (Son),Sinyal_5g,Skor (Al)_5g,Skor (Sat)_5g,Elmas Formasyonu_5g,AlphaTrend_5g,MA_5g,MACD_5g,MACD_Signal_5g,MACD_Positive_5g,RSI_5g,ADX_5g,OBV_Diff_5g,BB_Low_5g,BB_Mavg_5g,BB_High_5g,BB_W_5g,EMA20_gt_EMA50_gt_EMA200_5g,Dipten Uzaklık (%)_5g,ATH'ye Uzaklık (%)_5g,ATH Breakout_5g,ATH Dip Potansiyeli_5g,Cup&Handle Formasyonu_5g,Bull Flag Formasyonu_5g,TOBO Formasyonu_5g,Gelişmiş TOBO_5g,EMA5_137 Sinyal_5g,EMA5_137 Sinyal_Numeric_5g,EMA3_199 Sinyal_5g,EMA3_199 Sinyal_Numeric_5g,EMA3_200 Sinyal_5g,EMA3_200 Sinyal_Numeric_5g,CandleGoldenCross_Over_5g,Confirmed_BUY_5g,Confirmed_SELL_5g,CandleGoldenCross_Over_Confirmed_BUY_5g,Confirmed_SELL_CandleCrossUnder_5g,STOP Fiyat_5g,TP Fiyat_5g,Haftalık Değişim (%)_5g,Aylık Değişim (%)_5g,Ortalama Hacim (TL)_5g,F/K_5g,PD/DD_5g,Yorumlar_5g,PUANLAMA_V4_5g,TP Oran (%)_5g,Sinyal_Sort_5g,VolumeDeltaUp_Sort_5g,Formasyon_Sort_5g,FormasyonTazeKirilim_5g,BONUS_SCORE_5g,DipSkor_5g,ATHSkor_5g,OBVSkor_5g,TazeSkor_5g,FinalSkorEx_5g,__FDTT_NET_TL_5g,__FDTT_ADV7_TL_5g,KURUM_FDTT_SINYAL_5g,__AKD_1D_NET_TL_NORM_ND_5g,__AKD_3D_NET_TL_NORM_ND_5g,KURUM_AKD_SINYAL_5g,__AKD_PUAN_5g,__FDTT_PUAN_5g,__KURUM_PUAN_5g,AL_VETO_SHOCK_5g,__TURNOVER_1D_5g,__TURNOVER_3D_5g,__FF_MCAP_5g,AKD_NOTE_5g,KURUM_AKD_SKOR_5g,FinalSkorPlus_5g,__FDTT_NET_PP_5g,__FDTT_NET_TL_NORM_5g,__AKD_RECENCY_COMBO_5g,Analiz_Tarihi_str,Alis_Fiyati_AnalizGunu_5g,Max_Getiri_%_5g,Getiri_1Hafta_Sonu_%_5g,Zirve_Kayip_%_5g,Fiyat_EnYuksek_5Gun_5g,Fiyat_EnDusuk_5Gun_5g,Max_Getiri_5Gun_%_5g,Gun_EnYuksek_5g,Gun_EnDusuk_5g,Max_Getiri_15Gun_%_5g,Getiri_15Gun_Sonu_%_5g,Zirve_Kayip_15Gun_%_5g,Fiyat_EnYuksek_15Gun_5g,Fiyat_EnDusuk_15Gun_5g,SMA5_137_15m_Sinyal_5g,SMA5_137_15m_Sinyal_Numeric_5g,SMA5_137_15m_Sinyal_Filt_5g,SMA5_137_15m_Sinyal_Filt_Numeric_5g,SMA5_137_15m_CrossTime_5g,SMA5_137_15m_BarsSinceCross_5g,SMA5_137_1h_Sinyal_5g,SMA5_137_1h_Sinyal_Numeric_5g,SMA5_137_1h_Sinyal_Filt_5g,SMA5_137_1h_Sinyal_Filt_Numeric_5g,SMA5_137_1h_CrossTime_5g,SMA5_137_1h_BarsSinceCross_5g,SMA5_137_4h_Sinyal_5g,SMA5_137_4h_Sinyal_Numeric_5g,SMA5_137_4h_Sinyal_Filt_5g,SMA5_137_4h_Sinyal_Filt_Numeric_5g,SMA5_137_4h_CrossTime_5g,SMA5_137_4h_BarsSinceCross_5g,SMA5_137_1d_Sinyal_5g,SMA5_137_1d_Sinyal_Numeric_5g,SMA5_137_1d_Sinyal_Filt_5g,SMA5_137_1d_Sinyal_Filt_Numeric_5g,SMA5_137_1d_CrossTime_5g,SMA5_137_1d_BarsSinceCross_5g,EW_WaveType_1d_5g,EW_CurrentWave_1d_5g,EW_Phase_1d_5g,EW_LastPivotTime_1d_5g,EW_LastPivotPrice_1d_5g,EW_WaveType_4h_5g,EW_CurrentWave_4h_5g,EW_Phase_4h_5g,EW_LastPivotTime_4h_5g,EW_LastPivotPrice_4h_5g,Top_Grup_5g,Top_Grup_15Gun_5g,Beklenen_5g,Risk_5g,Kural_5g,Tarih_15g,Sinyal_15g,Skor (Al)_15g,Skor (Sat)_15g,Elmas Formasyonu_15g,AlphaTrend_15g,MA_15g,MACD_15g,MACD_Signal_15g,MACD_Positive_15g,RSI_15g,ADX_15g,OBV_Diff_15g,BB_Low_15g,BB_Mavg_15g,BB_High_15g,BB_W_15g,EMA20_gt_EMA50_gt_EMA200_15g,Dipten Uzaklık (%)_15g,ATH'ye Uzaklık (%)_15g,ATH Breakout_15g,ATH Dip Potansiyeli_15g,Cup&Handle Formasyonu_15g,Bull Flag Formasyonu_15g,TOBO Formasyonu_15g,Gelişmiş TOBO_15g,EMA5_137 Sinyal_15g,EMA5_137 Sinyal_Numeric_15g,EMA3_199 Sinyal_15g,EMA3_199 Sinyal_Numeric_15g,EMA3_200 Sinyal_15g,EMA3_200 Sinyal_Numeric_15g,CandleGoldenCross_Over_15g,Confirmed_BUY_15g,Confirmed_SELL_15g,CandleGoldenCross_Over_Confirmed_BUY_15g,Confirmed_SELL_CandleCrossUnder_15g,STOP Fiyat_15g,TP Fiyat_15g,Haftalık Değişim (%)_15g,Aylık Değişim (%)_15g,Ortalama Hacim (TL)_15g,F/K_15g,PD/DD_15g,Yorumlar_15g,PUANLAMA_V4_15g,TP Oran (%)_15g,Sinyal_Sort_15g,VolumeDeltaUp_Sort_15g,Formasyon_Sort_15g,FormasyonTazeKirilim_15g,BONUS_SCORE_15g,DipSkor_15g,ATHSkor_15g,OBVSkor_15g,TazeSkor_15g,FinalSkorEx_15g,__FDTT_NET_TL_15g,__FDTT_ADV7_TL_15g,KURUM_FDTT_SINYAL_15g,__AKD_1D_NET_TL_NORM_ND_15g,__AKD_3D_NET_TL_NORM_ND_15g,KURUM_AKD_SINYAL_15g,__AKD_PUAN_15g,__FDTT_PUAN_15g,__KURUM_PUAN_15g,AL_VETO_SHOCK_15g,__TURNOVER_1D_15g,__TURNOVER_3D_15g,__FF_MCAP_15g,AKD_NOTE_15g,KURUM_AKD_SKOR_15g,FinalSkorPlus_15g,__FDTT_NET_PP_15g,__FDTT_NET_TL_NORM_15g,__AKD_RECENCY_COMBO_15g,Alis_Fiyati_AnalizGunu_15g,Max_Getiri_%_15g,Getiri_1Hafta_Sonu_%_15g,Zirve_Kayip_%_15g,Fiyat_EnYuksek_5Gun_15g,Fiyat_EnDusuk_5Gun_15g,Max_Getiri_5Gun_%_15g,Gun_EnYuksek_15g,Gun_EnDusuk_15g,Max_Getiri_15Gun_%_15g,Getiri_15Gun_Sonu_%_15g,Zirve_Kayip_15Gun_%_15g,Fiyat_EnYuksek_15Gun_15g,Fiyat_EnDusuk_15Gun_15g,SMA5_137_15m_Sinyal_15g,SMA5_137_15m_Sinyal_Numeric_15g,SMA5_137_15m_Sinyal_Filt_15g,SMA5_137_15m_Sinyal_Filt_Numeric_15g,SMA5_137_15m_CrossTime_15g,SMA5_137_15m_BarsSinceCross_15g,SMA5_137_1h_Sinyal_15g,SMA5_137_1h_Sinyal_Numeric_15g,SMA5_137_1h_Sinyal_Filt_15g,SMA5_137_1h_Sinyal_Filt_Numeric_15g,SMA5_137_1h_CrossTime_15g,SMA5_137_1h_BarsSinceCross_15g,SMA5_137_4h_Sinyal_15g,SMA5_137_4h_Sinyal_Numeric_15g,SMA5_137_4h_Sinyal_Filt_15g,SMA5_137_4h_Sinyal_Filt_Numeric_15g,SMA5_137_4h_CrossTime_15g,SMA5_137_4h_BarsSinceCross_15g,SMA5_137_1d_Sinyal_15g,SMA5_137_1d_Sinyal_Numeric_15g,SMA5_137_1d_Sinyal_Filt_15g,SMA5_137_1d_Sinyal_Filt_Numeric_15g,SMA5_137_1d_CrossTime_15g,SMA5_137_1d_BarsSinceCross_15g,EW_WaveType_1d_15g,EW_CurrentWave_1d_15g,EW_Phase_1d_15g,EW_LastPivotTime_1d_15g,EW_LastPivotPrice_1d_15g,EW_WaveType_4h_15g,EW_CurrentWave_4h_15g,EW_Phase_4h_15g,EW_LastPivotTime_4h_15g,EW_LastPivotPrice_4h_15g,Top_Grup_15g,Top_Grup_15Gun_15g,Beklenen_15g,Risk_15g,Kural_15g
CVKMD,2025-09-29,15.42,50,4,0,0,14.68,14.56,0.46,0.24,1,60.56,26.26,-30119017.0,12.78,14.4,16.01,22.44,1,110.14,5.69,0,0,1,0,1,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,14.33,16.51,5.62,4.61,496998173,0.0,2.65,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.72%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 14.33, TP: 16.51 | 1H:%5.62 | 1A:%4.61 | Confirmed BUY (alphaTrend teyidi)",9,7.07,2,0,1,0,0,-110.14,-5.69,-30119017.0,0,-74.73,6473987612.57,360521933.0,True,-0.11,-0.02,False,-4.0,3.0,-1.0,False,0.03,0.24,5424113742.6,AKD nötr/negatif,-13.0,-87.73,119.36,17.96,-0.09,2025-09-29,15.42,12.581063553826196,12.581063553826196,0.0,17.36,16.07,12.581063553826196,5,2,39.818417639429306,28.27496757457848,8.256029684601103,21.56,16.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVKMD,2025-10-01,16.14,50,4,0,0,14.86,14.63,0.51,0.25,1,65.41,26.29,34570209.0,12.7,14.43,16.17,24.01,1,119.95,1.28,100,0,1,0,1,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,15.0,17.28,10.55,9.5,501453265,0.0,2.77,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %1.28) | ATR Oranı düşük (4.71%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 15.0, TP: 17.28 | 1H:%10.55 | 1A:%9.5 | Confirmed BUY (alphaTrend teyidi)",11,7.06,2,0,1,0,0,-119.95,-1.28,34570209.0,0,-68.53,,,,,,,,,,,,,,,,,,,,2025-10-01,16.14,9.789343246592306,9.789343246592306,0.0,17.72,16.07,9.789343246592306,5,1,33.5811648079306,27.26146220570012,4.730983302411873,21.56,16.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESPC,2025-09-29,68.2,50,4,0,0,63.75,62.65,2.71,1.91,1,71.23,37.62,343482.0,54.98,61.89,68.8,22.34,1,63.31,0.0,100,0,0,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,63.96,72.44,6.23,19.54,28560344,0.0,3.82,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (4.14%) | ATR STOP: 63.96, TP: 72.44 | 1H:%6.23 | 1A:%19.54 | Confirmed BUY (alphaTrend teyidi)",9,6.22,2,0,0,0,0,-63.31,-0.0,343482.0,0,-20.98,300811801.9,22313462.14,True,-0.07,-0.01,False,-2.0,3.0,0.0,False,0.01,0.12,771974478.0,AKD nötr/negatif,22.0,1.02,38.97,13.48,-0.05,2025-09-29,68.2,-1.1730205278592334,-9.457478005865108,8.382789317507426,67.4,60.25,-1.1730205278592334,1,4,-1.1730205278592334,-11.95014662756599,10.905044510385768,67.4,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMSAS,2025-09-29,8.5,50,4,0,0,8.05,7.99,0.24,0.14,1,68.45,39.13,-4158131.0,7.09,7.86,8.62,19.55,1,45.05,15.08,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,8.05,8.95,3.79,12.73,42287946,0.0,1.33,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (3.54%) | Gelişmiş Cup & Handle | ATR STOP: 8.05, TP: 8.95 | 1H:%3.79 | 1A:%12.73 | Confirmed BUY (alphaTrend teyidi)",7,5.29,2,0,1,0,0,-45.05,-15.08,-4158131.0,0,-17.3,161273305.11,47545092.43,True,-0.09,0.01,False,-2.0,3.0,0.0,False,0.02,0.2,877383754.65,AKD nötr/negatif,-3.0,-20.3,18.38,3.39,-0.06,2025-09-29,8.5,3.9999999999999982,2.35294117647058,1.5837104072398256,8.84,8.6,3.9999999999999982,3,2,5.764705882352944,5.764705882352944,0.0,8.99,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECILC,2025-09-29,83.55,50,4,0,0,78.46,69.2,5.93,3.56,1,79.72,39.77,6033811.0,47.78,65.91,84.04,55.01,1,132.41,0.0,100,0,0,0,1,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,77.96,89.14,18.76,30.96,486742923,20.783583,1.08,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (4.46%) | Gelişmiş TOBO formasyonu | ATR STOP: 77.96, TP: 89.14 | 1H:%18.76 | 1A:%30.96 | Confirmed BUY (alphaTrend teyidi)",10,6.69,2,0,1,0,0,-132.41,-0.0,6033811.0,0,-85.16,1947196914.08,441769841.57,True,0.04,0.04,False,2.0,3.0,2.0,False,0.02,0.12,8920755756.15,AKD nötr/negatif,27.0,-58.16,21.83,4.41,0.04,2025-09-29,83.55,10.712148414123284,8.318372232196293,2.1621621621621623,92.5,87.8,10.712148414123284,4,1,34.290843806104135,10.113704368641535,18.003565062388592,112.2,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECZYT,2025-09-29,277.0,50,4,0,0,259.13,241.09,9.39,3.1,1,76.26,29.3,1693519.0,201.49,235.31,269.13,28.74,1,69.99,0.0,100,0,0,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,260.45,293.55,17.17,15.61,121221593,27.425741,1.22,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (3.98%) | ATR STOP: 260.45, TP: 293.55 | 1H:%17.17 | 1A:%15.61 | Confirmed BUY (alphaTrend teyidi) | Volume Delta pozitif",9,5.97,2,1,0,0,0,-69.99,-0.0,1693519.0,0,-27.2,659804709.56,79399628.0,True,0.03,0.02,False,0.0,3.0,1.0,False,0.0,0.04,4549169484.0,AKD nötr/negatif,22.0,-5.2,14.5,8.31,0.03,2025-09-29,277.0,22.02166064981949,20.397111913357403,1.3313609467455625,338.0,316.0,22.02166064981949,4,1,27.617328519855597,-5.324909747292419,25.813295615275813,353.5,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZENR,2025-09-29,9.74,50,4,0,0,9.66,9.57,0.34,0.29,1,54.28,46.56,-51775003.0,8.67,9.57,10.48,18.88,1,141.37,7.24,0,0,0,1,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,8.82,10.66,-1.02,9.56,527374151,5.441341,1.67,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (6.3%) | Gelişmiş Bull Flag | ATR STOP: 8.82, TP: 10.66 | 1H:%-1.02 | 1A:%9.56 | Confirmed BUY (alphaTrend teyidi)",5,9.45,2,0,1,0,0,-141.37,-7.24,-51775003.0,0,-122.51,2319776135.56,304506833.29,True,-0.09,-0.05,False,-2.0,3.0,0.0,False,0.02,0.11,5566972734.31,AKD nötr/negatif,-19.0,-141.51,41.67,7.62,-0.08,2025-09-29,9.74,-0.3080082135523548,-4.620123203285432,4.325437693099914,9.71,9.2,-0.3080082135523548,2,4,-0.3080082135523548,-14.168377823408631,13.90319258496397,9.71,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
