KOZAA,2025-09-29,88.9,50,4,0,0,84.02,83.09,3.3,2.13,1,67.26,29.9,-4135469.0,70.76,81.42,92.08,26.19,1,61.93,4.51,0,0,0,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,83.89,93.91,1.25,12.53,591451977,0.0,1.64,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (3.76%) | ATR STOP: 83.89, TP: 93.91 | 1H:%1.25 | 1A:%12.53 | Confirmed BUY (alphaTrend teyidi)",6,5.64,2,0,0,0,0,-61.93,-4.51,-4135469.0,0,-36.0,8295839866.33,595792091.57,True,-0.02,-0.04,False,0.0,3.0,1.0,False,0.02,0.14,13641085182.3,AKD nötr/negatif,28.0,-8.0,60.82,13.92,-0.03,2025-09-29,88.9,1.8560179977502715,-1.0123734533183415,2.816123688569848,90.55,87.0,1.8560179977502715,3,2,3.5433070866141634,-6.355455568054,9.560021727322104,92.05,83.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRTEK,2025-09-29,33.78,50,4,0,0,32.07,31.95,0.96,0.61,1,59.96,26.36,-1319714.0,28.56,31.97,35.39,21.34,1,48.29,19.57,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,31.06,36.5,6.9,12.15,84361389,1689.0,0.92,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.36%) | Gelişmiş Cup & Handle | ATR STOP: 31.06, TP: 36.5 | 1H:%6.9 | 1A:%12.15 | Confirmed BUY (alphaTrend teyidi)",7,8.05,2,0,1,0,0,-48.29,-19.57,-1319714.0,0,-19.62,84737022.12,46630266.0,True,0.36,0.05,True,4.0,3.0,4.0,False,0.01,0.27,549660030.96,AKD pozitif (1g norm),74.0,54.38,15.42,1.82,0.27,2025-09-29,33.78,-7.282415630550624,-7.282415630550624,0.0,31.32,29.52,-7.282415630550624,5,3,-1.8354055654233408,-12.729425695677918,11.097708082026529,33.16,29.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIDER,2025-09-29,319.5,50,4,0,0,308.25,301.69,12.97,12.25,1,68.91,53.31,-230693.0,278.6,301.15,323.7,14.98,1,301.98,1.08,100,0,0,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,303.47,335.53,5.45,9.04,55188282,29.098362,6.44,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %1.08) | ATR Oranı düşük (3.35%) | ATR STOP: 303.47, TP: 335.53 | 1H:%5.45 | 1A:%9.04 | Confirmed BUY (alphaTrend teyidi)",8,5.02,2,0,0,0,0,-301.98,-1.08,-230693.0,0,-264.17,4307513262.38,62192349.14,True,-0.22,-0.02,False,-5.0,3.0,-2.0,True,0.0,0.01,15489387101.25,AKD/Taban veto,-81.0,-345.17,27.81,69.26,-0.16,2025-09-29,319.5,5.242566510172144,5.242566510172144,0.0,336.25,318.25,5.242566510172144,5,1,9.076682316118935,-80.84507042253522,82.43902439024392,348.5,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFSYM,2025-09-29,65.1,50,4,0,0,61.64,61.13,1.96,1.42,1,65.02,29.1,934899.0,55.46,60.69,65.91,17.21,1,94.21,0.0,100,0,0,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,61.21,68.99,3.66,11.76,67548746,17.933884,2.66,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (3.98%) | ATR STOP: 61.21, TP: 68.99 | 1H:%3.66 | 1A:%11.76 | Confirmed BUY (alphaTrend teyidi)",8,5.98,2,0,0,0,0,-94.21,-0.0,934899.0,0,-55.61,142555502.66,45101202.14,True,-0.38,-0.09,False,-5.0,3.0,-2.0,True,0.01,0.07,1360799754.3,AKD/Taban veto,-76.0,-131.61,10.48,3.16,-0.29,2025-09-29,65.1,0.1536098310291989,-1.843317972350224,1.993865030674853,65.2,63.6,0.1536098310291989,1,4,23.80952380952381,16.359447004608306,6.01736972704714,80.6,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OYLUM,2025-09-29,10.73,50,4,0,0,9.87,9.69,0.51,0.18,1,65.46,28.9,-2084797.0,7.16,9.26,11.36,45.33,1,56.87,6.7,0,0,0,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,9.73,11.73,6.13,20.16,13476549,97.54545,1.1,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (6.24%) | ATR STOP: 9.73, TP: 11.73 | 1H:%6.13 | 1A:%20.16 | Confirmed BUY (alphaTrend teyidi)",7,9.32,2,0,0,0,0,-56.87,-6.7,-2084797.0,0,-26.26,115127336.75,10762841.0,True,-0.01,-0.03,False,0.0,3.0,1.0,False,0.01,0.05,615840717.6,AKD nötr/negatif,28.0,1.74,18.69,10.7,-0.02,2025-09-29,10.73,6.337371854613232,2.516309412861133,3.5933391761612627,11.41,10.88,6.337371854613232,1,3,6.337371854613232,-0.8387698042870442,6.748466257668707,11.41,10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLHO,2025-09-29,21.04,50,4,0,0,17.25,13.65,4.15,3.43,1,90.72,67.93,17649426.0,-2.69,11.66,26.01,246.11,1,952.35,0.0,100,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,19.2,22.88,12.21,355.41,340631497,0.0,4.54,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (5.83%) | Gelişmiş Cup & Handle | ATR STOP: 19.2, TP: 22.88 | 1H:%12.21 | 1A:%355.41 | Confirmed BUY (alphaTrend teyidi)",10,8.75,2,0,1,0,0,-952.35,-0.0,17649426.0,0,-904.77,-21138212200.82,303408889.57,False,0.0,0.0,False,0.0,-3.0,-1.0,False,0.02,0.23,2984155356.0,AKD nötr/negatif,-12.0,-916.77,-708.35,-69.67,0.0,2025-09-29,21.04,7.034220532319393,2.5665399239543687,4.174067495559509,22.52,20.8,7.034220532319393,1,3,7.034220532319393,-24.049429657794672,29.04085257548845,22.52,15.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALYH,2025-09-29,156.9,50,4,0,0,144.06,138.05,6.73,3.39,1,72.91,28.65,1084769.0,113.28,134.5,155.72,31.56,1,312.19,0.0,100,0,0,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,146.26,167.54,15.79,19.86,211811326,34.034706,16.3,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (4.52%) | ATR STOP: 146.26, TP: 167.54 | 1H:%15.79 | 1A:%19.86 | Confirmed BUY (alphaTrend teyidi)",9,6.78,2,0,0,0,0,-312.19,-0.0,1084769.0,0,-269.53,23490731875.52,151360590.57,True,0.4,0.09,True,4.0,3.0,4.0,False,0.0,0.02,16369859303.2,AKD pozitif (1g norm),68.0,-201.53,143.5,155.2,0.31,2025-09-29,156.9,4.206500956022941,4.206500956022941,0.0,163.5,160.6,4.206500956022941,5,1,20.77756532823454,20.77756532823454,0.0,189.5,160.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUZYE,2025-09-29,12.93,50,4,0,0,12.86,11.73,0.86,0.51,1,62.14,39.84,-28794245.0,8.94,11.49,14.04,44.39,1,62.44,8.3,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,11.53,14.33,-2.27,17.23,341487080,43.1,2.62,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.19%) | Gelişmiş Cup & Handle | ATR STOP: 11.53, TP: 14.33 | 1H:%-2.27 | 1A:%17.23 | Confirmed BUY (alphaTrend teyidi)",7,10.83,2,0,1,0,0,-62.44,-8.3,-28794245.0,0,-35.51,691759311.03,188523730.71,True,0.08,0.02,True,2.0,3.0,2.0,False,0.05,0.36,2450776984.8,AKD pozitif (1g norm),54.0,18.49,28.23,3.67,0.06,2025-09-29,12.93,0.2320185614849275,-5.4137664346481,5.632716049382719,12.96,12.23,0.2320185614849275,3,5,0.2320185614849275,-6.419180201082754,6.635802469135811,12.96,11.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARKY,2025-09-29,14.99,50,4,0,0,14.24,13.86,0.63,0.48,1,74.62,38.47,3941690.0,11.84,13.59,15.34,25.74,1,46.63,0.0,100,0,1,0,1,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,14.15,15.83,4.83,14.18,68123805,inf,1.43,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (3.75%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 14.15, TP: 15.83 | 1H:%4.83 | 1A:%14.18 | Confirmed BUY (alphaTrend teyidi)",10,5.6,2,0,1,0,0,-46.63,-0.0,3941690.0,0,0.45,2086704246.9,81470410.57,True,0.07,0.04,True,2.0,3.0,2.0,False,0.0,0.01,11657293702.32,AKD pozitif (1g norm),42.0,42.45,17.9,25.61,0.06,2025-09-29,14.99,1.3342228152101354,-2.134756504336226,3.4233048057932822,15.19,14.22,1.3342228152101354,2,4,3.402268178785856,-4.536357571714475,7.677419354838706,15.5,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELVA,2025-09-29,3.69,50,4,0,0,3.51,3.2,0.31,0.15,1,66.33,36.73,-16270510.0,1.87,2.99,4.1,74.87,1,122.29,9.78,0,0,1,1,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,3.28,4.1,6.65,35.66,53757518,6.9622645,0.8,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.47%) | Gelişmiş Cup & Handle | Gelişmiş Bull Flag | ATR STOP: 3.28, TP: 4.1 | 1H:%6.65 | 1A:%35.66 | Confirmed BUY (alphaTrend teyidi)",10,11.11,2,0,1,0,0,-122.29,-9.78,-16270510.0,0,-83.13,906237468.47,51715844.86,True,0.26,0.08,True,4.0,3.0,4.0,False,0.03,0.23,1066565392.15,AKD pozitif (1g norm),71.0,-12.13,84.97,17.52,0.21,2025-09-29,3.69,3.2520325203252063,-11.653116531165317,14.43569553805775,3.81,3.26,3.2520325203252063,1,5,3.2520325203252063,-15.44715447154471,18.11023622047244,3.81,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEYKM,2025-09-29,7.15,0,0,0,0,6.93,7.07,0.44,0.56,0,57.24,63.63,-1502993.0,6.5,7.23,7.96,20.27,1,159.06,6.29,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,6.48,7.82,-2.59,11.2,19466743,0.0,3.29,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (6.24%) | Gelişmiş Cup & Handle | ATR STOP: 6.48, TP: 7.82 | 1H:%-2.59 | 1A:%11.2 | Confirmed BUY (alphaTrend teyidi)",3,9.37,0,0,1,0,0,-159.06,-6.29,-1502993.0,0,-143.89,63293181.07,16581569.86,True,-0.01,0.05,False,0.0,3.0,1.0,False,0.0,0.04,1139832177.12,AKD nötr/negatif,19.0,-124.89,5.55,3.82,0.01,2025-09-29,7.15,0.0,-10.349650349650352,10.349650349650352,7.15,6.41,0.0,2,5,0.0,-19.440559440559447,19.440559440559447,7.15,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATEN,2025-09-29,69.25,50,4,0,0,67.76,60.93,4.01,2.42,1,70.02,32.04,-3139676.0,47.95,59.33,70.7,38.35,1,128.7,3.82,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,63.93,74.57,17.08,19.91,209294328,27.371542,4.04,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.13%) | Gelişmiş Cup & Handle | ATR STOP: 63.93, TP: 74.57 | 1H:%17.08 | 1A:%19.91 | Confirmed BUY (alphaTrend teyidi)",8,7.68,2,0,1,0,0,-128.7,-3.82,-3139676.0,0,-94.31,2499889514.25,162565230.14,True,-0.09,-0.03,False,-2.0,3.0,0.0,False,0.0,0.05,4136702105.0,AKD nötr/negatif,-10.0,-104.31,60.43,15.38,-0.07,2025-09-29,69.25,20.938628158844764,12.707581227436815,6.805970149253734,83.75,78.05,20.938628158844764,1,5,24.98194945848375,15.52346570397112,7.567879838243787,86.55,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGGYO,2025-09-29,130.1,50,4,0,0,121.54,110.82,8.6,5.44,1,84.92,56.92,366679.0,85.02,107.49,129.95,41.81,1,169.39,0.0,100,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,1,0,0,0,121.91,138.29,8.15,32.82,24352081,0.0,1.84,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (4.2%) | Gelişmiş Cup & Handle | ATR STOP: 121.91, TP: 138.29 | 1H:%8.15 | 1A:%32.82 | Confirmed BUY (alphaTrend teyidi) | Volume Delta pozitif",10,6.3,2,1,1,0,0,-169.39,-0.0,366679.0,0,-123.03,-5286029487.48,21654579.0,False,0.28,0.11,True,4.0,-3.0,1.0,False,0.0,0.0,23173231867.2,AKD pozitif (1g norm),31.0,-92.03,-22.81,-244.11,0.23,2025-09-29,130.1,12.375096079938505,-0.3843197540353574,11.354309165526672,146.2,129.6,12.375096079938505,3,5,12.375096079938505,5.841660261337429,5.813953488372094,146.2,126.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5.396006156368955,8.149573790221542,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
